numero_questao,link,banca_orgao,assunto,enunciado,alternativas,gabarito
57,www.tecconcursos.com.br/questoes/3290531,CEBRASPE (CESPE) - APC (FUNPRESP-EXE)/FUNPRESP-EXE/Jurídica/2025,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"57) Julgue o item a seguir, com base no disposto na Emenda Constitucional n.º 103/2019. As normas que tratam das entidades de previdência complementar são autoaplicáveis, com eficácia direta e imediata. Certo Errado",Certo;Errado,Errado
58,www.tecconcursos.com.br/questoes/3348021,"CEBRASPE (CESPE) - TJ TRT10/TRT 10/Administrativa/""Sem Especialidade""/2025",Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"58) Julgue o item a seguir relativo à aplicabilidade das normas constitucionais, às classificações da Constituição Federal de 1988 e aos direitos e garantias fundamentais. As normas de eficácia contida podem ser aplicadas sem a necessidade de serem complementadas por uma lei. Certo Errado",Certo;Errado,Certo
59,www.tecconcursos.com.br/questoes/3438933,CEBRASPE (CESPE) - Ana (EMBRAPA)/EMBRAPA/Direito e Auditoria/Assessoria Jurídica - Advogado/2025,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"59) Julgue o item a seguir, considerando os princípios fundamentais da República Federativa do Brasil, os direitos e garantias fundamentais, bem como a aplicabilidade das normas constitucionais. As normas de eficácia plena e aplicabilidade imediata reúnem todas as condições necessárias para a produção dos seus efeitos típicos, que podem ser restringidos pelo legislador infraconstitucional. Certo Errado",Certo;Errado,Errado
60,www.tecconcursos.com.br/questoes/3438935,CEBRASPE (CESPE) - Ana (EMBRAPA)/EMBRAPA/Direito e Auditoria/Assessoria Jurídica - Advogado/2025,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"60) Julgue o item a seguir, considerando os princípios fundamentais da República Federativa do Brasil, os direitos e garantias fundamentais, bem como a aplicabilidade das normas constitucionais. As normas de princípio programático criam dever para o legislador, constituindo parâmetro para a declaração da inconstitucionalidade por omissão, e informam a concepção do Estado e da sociedade, inspirando a sua ordenação jurídica. Certo Errado",Certo;Errado,Certo
61,www.tecconcursos.com.br/questoes/3447968,"CEBRASPE (CESPE) - AJ (STM)/STM/Judiciária/""Sem Especialidade""/2025",Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"61) No que se refere às prerrogativas parlamentares e ao controle de constitucionalidade, julgue o item subsequente. O fenômeno da erosão da consciência constitucional materializa-se, essencialmente, por atos legislativos comissivos, que geram normas inconstitucionais. Certo Errado",Certo;Errado,Errado
62,www.tecconcursos.com.br/questoes/3453941,CEBRASPE (CESPE) - Ana Tec (SUSEP)/SUSEP/Contabilidade Pública/2025,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"62) Julgue o item a seguir, relativo a aplicabilidade das normas constitucionais, organização político-administrativa do Estado e direitos sociais, de acordo com o texto constitucional e a jurisprudência do STF. O direito ao exercício profissional consubstancia norma de eficácia contida, cujo núcleo essencial é imediatamente aplicável, admitindo-se, contudo, restrições legais supervenientes, desde que compatíveis com a razoabilidade, a proporcionalidade e os fins constitucionais expressos. Certo Errado",Certo;Errado,Certo
63,www.tecconcursos.com.br/questoes/3492594,CEBRASPE (CESPE) - Adm (PF)/PF/2025,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"63) Julgue o item seguinte com base na Constituição Federal de 1988 (CF) e na jurisprudência dos tribunais superiores. As normas constitucionais de eficácia plena e de eficácia contida têm aplicabilidade imediata, são irrevogáveis e não admitem restrições por normas infraconstitucionais. Certo Errado",Certo;Errado,Errado
64,www.tecconcursos.com.br/questoes/3599492,CEBRASPE (CESPE) - AJ (TJ PA)/TJ PA/Direito/2025,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"64) Julgue o item seguinte, acerca dos princípios fundamentais e das previsões da Constituição Federal de 1988 (CF). Os princípios fundamentais que regem o Brasil nas relações internacionais previstos na CF constituem meras diretrizes programáticas sem eficácia normativa, não vinculando juridicamente os poderes estatais internos em suas respectivas competências funcionais. Certo Errado",Certo;Errado,Errado
65,www.tecconcursos.com.br/questoes/2775391,CEBRASPE (CESPE) - Ana CT I (CNPq)/CNPq/Administração e Recursos Logísticos/2024,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"65) O inciso VIII do art. 5.º da Constituição Federal de 1988 prevê que “ninguém será privado de direitos por motivo de crença religiosa ou de convicção filosófica ou política, salvo se as invocar para eximir-se de obrigação legal a todos imposta e recusar-se a cumprir prestação alternativa, fixada em lei”. Em relação a esse dispositivo constitucional, julgue o item seguinte. O preceito constitucional mencionado consiste em norma de eficácia limitada. Certo Errado",Certo;Errado,Errado
66,www.tecconcursos.com.br/questoes/2841465,CEBRASPE (CESPE) - Ana Min (MPE TO)/MPE TO/Especializado/Administração de Banco de Dados/2024,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"66) Acerca da aplicabilidade das normas constitucionais, no que se refere às normas de eficácia plena, contida e limitada, julgue o item seguinte. Todas as normas constitucionais têm, no mínimo, um efeito negativo: a proibição de edição de leis infraconstitucionais que as contrariem. Certo Errado",Certo;Errado,Certo
67,www.tecconcursos.com.br/questoes/2875305,CEBRASPE (CESPE) - Ana CT (CAPES)/CAPES/Geral/2024,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"67) A Constituição Federal de 1988 prevê que “todos têm direito a receber dos órgãos públicos informações de seu interesse particular, ou de interesse coletivo ou geral, que serão prestadas no prazo da lei, sob pena de responsabilidade (...)”. Acerca do conteúdo desse dispositivo, julgue o item que se segue. Segundo a tradicional classificação da aplicabilidade das normas constitucionais, o citado preceito constitucional é considerado norma de eficácia contida. Certo Errado",Certo;Errado,Certo
68,www.tecconcursos.com.br/questoes/2875313,CEBRASPE (CESPE) - Ana CT (CAPES)/CAPES/Geral/2024,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"68) No que diz respeito às disposições constitucionais acerca da educação, julgue o item seguinte. A norma constitucional que prevê o direito à educação como um direito social é uma norma de eficácia limitada do tipo programática. Certo Errado",Certo;Errado,Certo
69,www.tecconcursos.com.br/questoes/2890611,CEBRASPE (CESPE) - Ana MP (MPE GO)/MPE GO/Analista Ambiental/Engenharia Agronômica/2024,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"69) A respeito dos direitos e deveres individuais e coletivos estabelecidos na CF e da classificação quanto à aplicabilidade das normas constitucionais segundo a doutrina majoritária, julgue o item a seguir. As normas constitucionais programáticas impõem um dever político ao órgão com atribuição para executar o seu comando, servem de referência teleológica para a atividade de interpretação e aplicação do direito e podem funcionar como parâmetro de controle de constitucionalidade. Certo Errado",Certo;Errado,Certo
70,www.tecconcursos.com.br/questoes/2933927,CEBRASPE (CESPE) - Ana Adm (CM Maceió)/CM Maceió/2024,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"70) Em relação aos princípios fundamentais, à aplicabilidade das normas constitucionais e aos direitos e às garantias fundamentais, julgue o item seguinte. O fato de uma norma constitucional ser classificável como de eficácia contida não impede que ela possua eficácia imediata e direta em determinadas situações. Certo Errado",Certo;Errado,Certo
71,www.tecconcursos.com.br/questoes/2972973,CEBRASPE (CESPE) - Proc (Cach Itapemirim)/Pref Cach Itapemirim/2024,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"71) Em relação à aplicabilidade das normas, julgue o item que se segue. As normas constitucionais consideradas como não autoaplicáveis possuem eficácia jurídica. Certo Errado",Certo;Errado,Certo
72,www.tecconcursos.com.br/questoes/2992766,CEBRASPE (CESPE) - AJ CNJ/CNJ/Administrativa/Pedagogia/2024,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"72) Acerca da aplicabilidade das normas constitucionais, julgue o próximo item. Tem eficácia plena a norma constitucional que estabelece ser dever da família, da sociedade e do Estado assegurar à criança os direitos básicos à saúde, à alimentação, à educação, ao lazer, à profissionalização, à cultura, à dignidade, ao respeito e à convivência familiar. Certo Errado",Certo;Errado,Errado
73,www.tecconcursos.com.br/questoes/2995274,CEBRASPE (CESPE) - AJ CNJ/CNJ/Judiciária/2024,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"73) Com relação à aplicabilidade das normas constitucionais, à administração pública e aos servidores públicos, julgue o item seguinte. É de eficácia limitada a norma constitucional que prevê que o prazo de validade do concurso público é de até dois anos, prorrogável uma vez, por igual período. Certo Errado",Certo;Errado,Errado
74,www.tecconcursos.com.br/questoes/2996036,CEBRASPE (CESPE) - TJ CNJ/CNJ/Administrativa/2024,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"74) Julgue o item seguinte, de acordo com o entendimento do STF no que se refere à aplicabilidade das normas constitucionais, à organização político-administrativa, aos servidores públicos, aos direitos políticos e à segurança pública. São programáticas as normas constitucionais que asseguram o direito fundamental de todas as crianças e jovens ao acesso à educação básica. Certo Errado",Certo;Errado,Errado
75,www.tecconcursos.com.br/questoes/2996040,CEBRASPE (CESPE) - TJ CNJ/CNJ/Administrativa/2024,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"75) Julgue o item seguinte, de acordo com o entendimento do STF no que se refere à aplicabilidade das normas constitucionais, à organização político-administrativa, aos servidores públicos, aos direitos políticos e à segurança pública. A norma constitucional que prevê o direito de resposta é de eficácia limitada e de aplicabilidade mediata, sendo exigida, pois, a edição de legislação ordinária para tutela desse direito. Certo Errado",Certo;Errado,Errado
76,www.tecconcursos.com.br/questoes/3008042,CEBRASPE (CESPE) - AGP (SEPLAG CE)/SEPLAG CE/Gestão de Desenvolvimento de Pessoas/2024,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"76) Acerca das normas constitucionais programáticas, dos servidores públicos e do processo legislativo, julgue o item que se segue. Normas constitucionais programáticas são, em geral, aquelas em que a Constituição se limita a traçar princípios ou direcionamentos para ação estatal futura. Certo Errado",Certo;Errado,Certo
77,www.tecconcursos.com.br/questoes/3172490,CEBRASPE (CESPE) - ACE (TC DF)/TC DF/Especializada/Arquivologia/2024,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"77) A respeito dos princípios fundamentais previstos na Constituição Federal de 1988 (CF), da aplicabilidade das normas constitucionais, do controle de constitucionalidade e do poder de reforma constitucional, julgue o item que se seguem. As normas programáticas destinam-se a estabelecer formas de atuação futura para o poder público e, apesar de terem eficácia limitada, são providas de certo nível de eficácia jurídica. Certo Errado",Certo;Errado,Certo
78,www.tecconcursos.com.br/questoes/3202211,"CEBRASPE (CESPE) - AJ TSE/TSE/Administrativa/""Sem Especialidade""/2024",Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"78) No que se refere aos princípios fundamentais da Constituição Federal de 1988 (CF) e à aplicabilidade das normas constitucionais, julgue o item que se segue. Quanto à aplicabilidade, todas as normas constitucionais possuem algum grau de eficácia, isto é, a capacidade de produzir efeitos. Certo Errado",Certo;Errado,Certo
79,www.tecconcursos.com.br/questoes/3206588,"CEBRASPE (CESPE) - TJ TSE/TSE/Administrativa/""Sem Especialidade""/2024",Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"79) No que concerne aos princípios fundamentais da Constituição Federal de 1988 (CF), à aplicabilidade das normas constitucionais e aos direitos e garantias fundamentais, julgue o item subsequente. As normas constitucionais de eficácia contida só produzem efeitos quando norma infraconstitucional as regulamenta. Certo Errado",Certo;Errado,Errado
80,www.tecconcursos.com.br/questoes/2338711,CEBRASPE (CESPE) - Papis (POLC AL)/POLC AL/2023,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"80) Em relação às normas constitucionais e aos direitos e garantias fundamentais, julgue o item seguinte. Parte das normas constitucionais não possui eficácia jurídica, porque depende de decisões políticas futuras. Certo Errado",Certo;Errado,Errado
81,www.tecconcursos.com.br/questoes/2400291,CEBRASPE (CESPE) - AJ 02 (TJ ES)/TJ ES/Judiciária/Comissário da Infância e da Juventude/2023,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"81) De acordo com a jurisprudência do STF, julgue o item a seguir. O livre exercício de qualquer trabalho, ofício ou profissão, por se tratar de norma constitucional de eficácia plena, não pode ser objeto de restrição por nenhuma lei. Certo Errado",Certo;Errado,Errado
82,www.tecconcursos.com.br/questoes/2421659,CEBRASPE (CESPE) - Ana (CNMP)/CNMP/Apoio Técnico Especializado/Arquivologia/2023,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"82) Julgue o item que se segue, relativo à aplicabilidade das normas constitucionais, aos direitos e garantias fundamentais e às competências legislativas dos entes da Federação. As normas constitucionais de eficácia contida subdividem-se em dois grupos: normas programáticas e normas de legislação. Certo Errado",Certo;Errado,Errado
83,www.tecconcursos.com.br/questoes/2637597,CEBRASPE (CESPE) - Ana TI (DATAPREV)/DATAPREV/Advocacia/2023,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"83) No que diz respeito às normas programáticas, aos direitos políticos e ao mandado de segurança, julgue o item a seguir. Normas constitucionais programáticas são normas jurídicas, não exortações retóricas, e possuem eficácia, ainda que de modo diferente de outras normas constitucionais. Certo Errado",Certo;Errado,Certo
84,www.tecconcursos.com.br/questoes/2689984,CEBRASPE (CESPE) - AACE (TC DF)/TC DF/2023,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"84) Acerca dos princípios fundamentais estabelecidos na Constituição Federal de 1988 (CF) e da eficácia das normas constitucionais, julgue o item a seguir. A norma que prevê a participação do trabalhador nos lucros ou resultados da empresa, de forma desvinculada da remuneração, e, excepcionalmente, a participação na gestão da empresa, conforme definido em lei, tem eficácia limitada. Certo Errado",Certo;Errado,Certo
85,www.tecconcursos.com.br/questoes/2689985,CEBRASPE (CESPE) - AACE (TC DF)/TC DF/2023,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"85) Acerca dos princípios fundamentais estabelecidos na Constituição Federal de 1988 (CF) e da eficácia das normas constitucionais, julgue o item a seguir. Nem toda norma constitucional goza de eficácia jurídica. Certo Errado",Certo;Errado,Errado
86,www.tecconcursos.com.br/questoes/2714844,CEBRASPE (CESPE) - ACE (TC DF)/TC DF/Auditoria/2023,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"86) Julgue o item que se segue, relativo a princípios fundamentais, normas constitucionais, direitos e deveres individuais e coletivos, direitos sociais, União, estados, Distrito Federal e municípios, e servidores públicos. O fato de norma constitucional ser de eficácia contida não impede a produção de todos os seus efeitos desde o momento da promulgação da Constituição. Certo Errado",Certo;Errado,Certo
87,www.tecconcursos.com.br/questoes/3447965,"CEBRASPE (CESPE) - AJ (STM)/STM/Judiciária/""Sem Especialidade""/2025","Direito Constitucional (CF/1988 e Doutrina) - Poder Constituinte (Originário, Derivado, Reformador, Revisor, Decorrente, etc)","87) Acerca do poder constituinte, da nacionalidade e da administração pública, julgue o seguinte item. A capacidade de os estados-membros produzirem suas constituições é uma manifestação do poder constituinte derivado. Certo Errado",Certo;Errado,Certo
88,www.tecconcursos.com.br/questoes/3495831,CEBRASPE (CESPE) - Aud (FUB)/FUB/2025,"Direito Constitucional (CF/1988 e Doutrina) - Poder Constituinte (Originário, Derivado, Reformador, Revisor, Decorrente, etc)","88) Julgue o item a seguir, no que se refere a diversos aspectos do direito constitucional. A alteração da Constituição Federal por meio de emendas constitucionais decorre do poder constituinte originário. Certo Errado",Certo;Errado,Errado
89,www.tecconcursos.com.br/questoes/3514029,CEBRASPE (CESPE) - Adv (CAU MG)/CAU MG/2025,"Direito Constitucional (CF/1988 e Doutrina) - Poder Constituinte (Originário, Derivado, Reformador, Revisor, Decorrente, etc)","89) Julgue o item a seguir, relativos à classificação da Constituição e ao poder constituinte. A impossibilidade de emenda constitucional ser promulgada na vigência de estado de sítio, estado de defesa e intervenção federal constitui limitação circunstancial do poder constituinte derivado decorrente. Certo Errado",Certo;Errado,Errado
90,www.tecconcursos.com.br/questoes/3625425,CEBRASPE (CESPE) - Proc Jur (Andradina)/Pref Andradina/2025,"Direito Constitucional (CF/1988 e Doutrina) - Poder Constituinte (Originário, Derivado, Reformador, Revisor, Decorrente, etc)","90) Julgue o seguinte item, acerca de aspectos diversos do direito constitucional. O poder constituinte derivado pode manifestar-se tanto na alteração do texto constitucional, realizada por órgão de caráter representativo, conforme os procedimentos especiais previstos na Constituição Federal de 1988 (CF), quanto no exercício, pelos estados-membros, de sua autonomia político-administrativa para se auto-organizarem por meio de suas respectivas Constituições estaduais, observados os limites estabelecidos pela CF. Certo Errado",Certo;Errado,Certo
91,www.tecconcursos.com.br/questoes/2779627,CEBRASPE (CESPE) - Adv (CAU BR)/CAU BR/2024,"Direito Constitucional (CF/1988 e Doutrina) - Poder Constituinte (Originário, Derivado, Reformador, Revisor, Decorrente, etc)","91) Acerca da teoria da Constituição e sua classificação, bem como do poder constituinte, julgue o item a seguir. O poder constituinte decorrente refere-se ao poder de os estados-membros e os municípios elaborarem as próprias constituições, respeitando os limites impostos na Constituição Federal de 1988. Certo Errado",Certo;Errado,Errado
92,www.tecconcursos.com.br/questoes/2779629,CEBRASPE (CESPE) - Adv (CAU BR)/CAU BR/2024,"Direito Constitucional (CF/1988 e Doutrina) - Poder Constituinte (Originário, Derivado, Reformador, Revisor, Decorrente, etc)","92) Acerca da teoria da Constituição e sua classificação, bem como do poder constituinte, julgue o item a seguir. Não há possibilidade jurídica de pedido de declaração de inconstitucionalidade pelo Supremo Tribunal Federal (STF) de norma oriunda do poder constituinte originário, uma vez que a tese de que há hierarquia entre normas constitucionais originárias, dando azo à declaração de inconstitucionalidadede umas em face de outras, é incompossível com o sistema de Constituição rígida. Certo Errado",Certo;Errado,Certo
93,www.tecconcursos.com.br/questoes/2934997,CEBRASPE (CESPE) - Proc Leg (CM Maceió)/CM Maceió/2024,"Direito Constitucional (CF/1988 e Doutrina) - Poder Constituinte (Originário, Derivado, Reformador, Revisor, Decorrente, etc)","93) Julgue o item a seguir, acerca das variações do poder constituinte derivado e do mecanismo da mutação constitucional. O poder constituinte derivado reformador é um poder de reforma constitucional por meio de um procedimento específico, a exemplo das emendas constitucionais, estabelecido pelo poder constituinte originário. Certo Errado",Certo;Errado,Certo
94,www.tecconcursos.com.br/questoes/2934998,CEBRASPE (CESPE) - Proc Leg (CM Maceió)/CM Maceió/2024,"Direito Constitucional (CF/1988 e Doutrina) - Poder Constituinte (Originário, Derivado, Reformador, Revisor, Decorrente, etc)","94) Julgue o item a seguir, acerca das variações do poder constituinte derivado e do mecanismo da mutação constitucional. O poder constituinte derivado revisor tem por finalidade revisar a Constituição Federal a cada cinco anos, contados da data de promulgação de seu texto. Certo Errado",Certo;Errado,Errado
95,www.tecconcursos.com.br/questoes/3041230,CEBRASPE (CESPE) - Proc Mun (PGM Mossoró)/Pref Mossoró/2024,"Direito Constitucional (CF/1988 e Doutrina) - Poder Constituinte (Originário, Derivado, Reformador, Revisor, Decorrente, etc)","95) Quanto ao poder constituinte, aos direitos e deveres individuais e coletivos e aos direitos políticos, julgue o item a seguir. As limitações ao poder de revisão, como manifestação do poder constituinte derivado, são apenas de natureza temporal e material. Certo Errado",Certo;Errado,Errado
96,www.tecconcursos.com.br/questoes/3172481,CEBRASPE (CESPE) - ACE (TC DF)/TC DF/Especializada/Arquivologia/2024,"Direito Constitucional (CF/1988 e Doutrina) - Poder Constituinte (Originário, Derivado, Reformador, Revisor, Decorrente, etc)","96) A respeito dos princípios fundamentais previstos na Constituição Federal de 1988 (CF), da aplicabilidade das normas constitucionais, do controle de constitucionalidade e do poder de reforma constitucional, julgue o item que se seguem. Os limites impostos pelo poder reformador são previstos apenas no texto constitucional, como forma de reduzir a amplitude desse poder, que emana do povo. Certo Errado",Certo;Errado,Errado
97,www.tecconcursos.com.br/questoes/2367839,CEBRASPE (CESPE) - Prom Jus (MPE SC)/MPE SC/2023,"Direito Constitucional (CF/1988 e Doutrina) - Poder Constituinte (Originário, Derivado, Reformador, Revisor, Decorrente, etc)","97) A respeito do princípio republicano, da hermenêutica constitucional, das súmulas vinculantes e das limitações ao poder constituinte, julgue o item a seguir. As limitações admitidas em face do poder constituinte originário permitem que, para fins de controle de constitucionalidade, as normas por ele produzidas sejam apreciadas pelo Supremo Tribunal Federal (STF). Certo Errado",Certo;Errado,Errado
98,www.tecconcursos.com.br/questoes/2503610,CEBRASPE (CESPE) - Del Pol (PC AL)/PC AL/2023,"Direito Constitucional (CF/1988 e Doutrina) - Poder Constituinte (Originário, Derivado, Reformador, Revisor, Decorrente, etc)","98) A respeito das fontes e das classificações das constituições, do poder constituinte e do controle de constitucionalidade, julgue o item que se segue. O chamado poder constituinte derivado está, juridicamente, no mesmo nível do poder constituinte originário, pois ambos têm a capacidade de gerar e alterar a Constituição. Certo Errado",Certo;Errado,Errado
99,www.tecconcursos.com.br/questoes/2689992,CEBRASPE (CESPE) - AACE (TC DF)/TC DF/2023,"Direito Constitucional (CF/1988 e Doutrina) - Poder Constituinte (Originário, Derivado, Reformador, Revisor, Decorrente, etc)","99) No que diz respeito à disciplina constitucional da emenda, da reforma e da revisão constitucional, bem como à organização político-administrativa do Estado, julgue o item subsequente, de acordo com a jurisprudência do STF. O procedimento específico conhecido como dupla revisão pode alterar as cláusulas pétreas da CF. Certo Errado",Certo;Errado,Errado
100,www.tecconcursos.com.br/questoes/2716617,CEBRASPE (CESPE) - ACE (TC DF)/TC DF/Especializada/Sistemas de TI/2023,"Direito Constitucional (CF/1988 e Doutrina) - Poder Constituinte (Originário, Derivado, Reformador, Revisor, Decorrente, etc)","100) No que concerne ao controle de constitucionalidade e ao poder constituinte, julgue o item a seguir, conforme a jurisprudência do STF. O poder constituinte reformador é responsável pela elaboração das Constituições dos estados-membros, devendo conformá-las aos princípios e regras impostas pela CF. Certo Errado",Certo;Errado,Errado
101,www.tecconcursos.com.br/questoes/2497794,CEBRASPE (CESPE) - Proc (PGE RR)/PGE RR/2023,"Direito Constitucional (CF/1988 e Doutrina) - Aplicação das Normas Constitucionais no Tempo (Recepção, Repristinação,","Desconstitucionalização) 101) No que diz respeito às assembleias nacionais constituintes, à rigidez constitucional, ao direito constitucional intertemporal e à mutação constitucional, julgue o seguinte item. Se determinada matéria é disciplinada por espécie normativa diferente daquela exigida por nova Constituição, não ocorre o fenômeno da recepção, e a norma anterior deve ser considerada revogada ou não recepcionada. Certo Errado",Certo;Errado,Errado
102,www.tecconcursos.com.br/questoes/3271511,CEBRASPE (CESPE) - Proc Mun (Aracaju)/Pref Aracaju/2025,Direito Constitucional (CF/1988 e Doutrina) - Métodos e Princípios de Interpretação das Normas Constitucionais,"102) Acerca da Constituição, do poder constituinte, dos princípios fundamentais e dos direitos e garantias fundamentais, julgue o item a seguir com base na legislação vigente, na jurisprudência do STF e na doutrina majoritária. Conforme a lição de Peter Häberle, a Constituição deve ser vista como um ato isolado e pontual do poder constituinte originário, razão por que a teoria da interpretação constitucional se vincula a uma interpretação a ser realizada por uma sociedade fechada, concentrando-se primariamente na interpretação constitucional dos juízes e nos procedimentos formalizados. Certo Errado",Certo;Errado,Errado
103,www.tecconcursos.com.br/questoes/3290409,CEBRASPE (CESPE) - APC (FUNPRESP-EXE)/FUNPRESP-EXE/Jurídica/2025,Direito Constitucional (CF/1988 e Doutrina) - Métodos e Princípios de Interpretação das Normas Constitucionais,"103) Em relação aos princípios constitucionais, aos direitos e às garantias fundamentais, bem como à organização político-administrativa do Estado brasileiro, julgue o item a seguir. Segundo o princípio da justeza, também conhecido como efeito integrador ou exatidão funcional, não pode o intérprete da Constituição alterar a repartição de funções por ela estabelecida. Certo Errado",Certo;Errado,Errado
104,www.tecconcursos.com.br/questoes/3290411,CEBRASPE (CESPE) - APC (FUNPRESP-EXE)/FUNPRESP-EXE/Jurídica/2025,Direito Constitucional (CF/1988 e Doutrina) - Métodos e Princípios de Interpretação das Normas Constitucionais,"104) Em relação aos princípios constitucionais, aos direitos e às garantias fundamentais, bem como à organização político-administrativa do Estado brasileiro, julgue o item a seguir. Por meio da mutação constitucional, é possível, sem contrariar a Constituição, alterar ou modificar o sentido, significado ou alcance das suas normas, denominando-se como inconstitucionais os procedimentos que extrapolem os limites da interpretação e produzam resultados hermenêuticos que não sejam compatíveis com os princípios estruturais da lei fundamental. Certo Errado",Certo;Errado,Certo
105,www.tecconcursos.com.br/questoes/3450413,"CEBRASPE (CESPE) - TJ (STM)/STM/Administrativa/""Sem Especialidade""/2025",Direito Constitucional (CF/1988 e Doutrina) - Métodos e Princípios de Interpretação das Normas Constitucionais,"105) Em relação à tipologia das constituições, ao poder constituinte e aos princípios de interpretação constitucional, julgue o item a seguir. Corolário do princípio da separação de poderes, o princípio da correção funcional ou da conformidade funcional estabelece que, na atividade de interpretação da constituição, deve ser observado o espaço institucional próprio de cada poder. Certo Errado",Certo;Errado,Certo
106,www.tecconcursos.com.br/questoes/2875830,CEBRASPE (CESPE) - APO (MPO)/MPO/Geral/2024,Direito Constitucional (CF/1988 e Doutrina) - Métodos e Princípios de Interpretação das Normas Constitucionais,"106) Com relação à legitimação pelo procedimento e à interpretação no direito, ao nexo entre orçamento e políticas públicas e ao estado de bem-estar social no Brasil, julgue o seguinte item. Os novos métodos de interpretação jurídica de modo algum afastam a aplicabilidade dos métodos tradicionais, que podem ser úteis na aplicação das normas. Certo Errado",Certo;Errado,Certo
107,www.tecconcursos.com.br/questoes/2875834,CEBRASPE (CESPE) - APO (MPO)/MPO/Geral/2024,Direito Constitucional (CF/1988 e Doutrina) - Métodos e Princípios de Interpretação das Normas Constitucionais,"107) Considerando o direito constitucional contemporâneo e os direitos e as garantias fundamentais, julgue o item que se segue. O fenômeno da mutação constitucional, causado, entre outras razões, por mudança dos valores da sociedade, possibilita novas interpretações do texto constitucional sem que ele seja alterado. Certo Errado",Certo;Errado,Certo
108,www.tecconcursos.com.br/questoes/2935000,CEBRASPE (CESPE) - Proc Leg (CM Maceió)/CM Maceió/2024,Direito Constitucional (CF/1988 e Doutrina) - Métodos e Princípios de Interpretação das Normas Constitucionais,"108) Julgue o item a seguir, acerca das variações do poder constituinte derivado e do mecanismo da mutação constitucional. Mutações constitucionais são processos informais que, sem contrariar a Constituição Federal, alteram ou modificam o sentido, o significado ou o alcance de suas normas. Certo Errado",Certo;Errado,Certo
109,www.tecconcursos.com.br/questoes/2497838,CEBRASPE (CESPE) - Proc (PGE RR)/PGE RR/2023,Direito Constitucional (CF/1988 e Doutrina) - Simetria Constitucional,"109) Julgue o item que se segue, acerca dos tribunais de contas e dos governadores dos estados. Todas as normas e prerrogativas do presidente da República são simetricamente aplicáveis aos governadores dos estados. Certo Errado",Certo;Errado,Errado
110,www.tecconcursos.com.br/questoes/3249794,CEBRASPE (CESPE) - AJ TRF6/TRF 6/Administrativa/Sem Especialidade/2025,Direito Constitucional (CF/1988 e Doutrina) - Dos Princípios Fundamentais da Constituição (arts. 1º a 4º da CF/1988),"110) Com relação aos princípios fundamentais e aos direitos e garantias fundamentais previstos na Constituição Federal de 1988 (CF), bem como à aplicabilidade das normas constitucionais, julgue o item a seguir. São fundamentos da República Federativa do Brasil, entre outros, a soberania, os valores econômicos do trabalho e da livre iniciativa e o repúdio ao terrorismo e ao racismo. Certo Errado",Certo;Errado,Errado
